date,tic,open,high,low,close,volume,rsi_14,macd,macds,macdh,bb_upper,bb_middle,bb_lower,adx,plus_di,minus_di,cci,mom_10,roc_10,obv,sma_5,sma_10,sma_20,sma_30,sma_60,vix,turbulence
2025-01-02,AAPL,247.57754859678104,247.74663833648884,240.50619200781614,242.52516174316406,55740700.0,46.04905920899162,4.048727023657278,5.242417561759391,-1.1936905381021123,258.16896731591584,248.5119499206543,238.85493252539274,38.75677863527978,22.977646068368053,28.46253460188461,-84.64221809775646,-9.577667236328125,-3.7991113686023925,19314852800.0,250.84569396972657,251.31513366699218,248.5119499206543,243.187868754069,235.28428344726564,17.93000030517578,1.1864915791155362
2025-01-02,AMGN,252.167649274211,253.51417906190258,248.4454446870339,249.37840270996094,2357400.0,30.353620743184713,-7.425222566838556,-8.00265376539084,0.5774311985522829,269.46380776059516,257.09118728637696,244.71856681215877,41.5749452253001,15.340102082252303,32.75419004714833,-82.42757221115522,-6.41534423828125,-2.5080144901193924,353362900.0,251.04234619140624,251.69541931152344,257.09118728637696,262.62577362060546,281.81326421101886,17.93000030517578,1.0248208374503263
2025-01-02,AXP,295.2115430750569,295.54611255355206,289.9174112643688,293.6665954589844,1930100.0,51.39207805529781,1.5046890590369912,2.3725862016956847,-0.8678971426586934,302.7260630551064,294.9655471801758,287.2050313052452,18.116938718954042,17.424379324130637,21.15760624044128,-54.309704590740324,-2.863555908203125,-0.9656879393209583,246412300.0,294.73723754882815,293.1804992675781,294.9655471801758,294.77332967122396,284.188193766276,17.93000030517578,1.537388511534878
2025-01-02,BA,178.30999755859375,179.19000244140625,169.82000732421875,171.8699951171875,12450000.0,56.40708332100336,5.941359995062072,6.307612384010512,-0.3662523889484399,187.1595790063316,170.50699920654296,153.85441940675432,32.59363436701749,22.853150047947693,23.855692515643646,28.873102895968046,-1.160003662109375,-0.6704060973779402,440302700.0,177.3040008544922,177.05599975585938,170.50699920654296,163.92533264160156,157.4498326619466,17.93000030517578,1.7312678247304945
2025-01-02,CAT,359.2320372758604,362.51466608737707,351.93946944175804,353.5906066894531,1802600.0,31.179229395487003,-7.760793217379046,-6.445258022499729,-1.3155351948793168,396.311007053345,369.68091583251953,343.05082461169405,28.72644881787195,11.265044173861558,31.04674918664987,-79.24887846972214,-15.754669189453125,-4.26556672532572,253594600.0,357.2604675292969,357.8246185302734,369.68091583251953,376.7099080403646,379.9363983154297,17.93000030517578,1.146215888042622
2025-01-02,CSCO,57.16268736004531,57.558109882641475,56.48757474903368,56.99872970581055,16144300.0,54.29759369743648,0.340247742468037,0.37256030108068494,-0.032312558612647924,58.231511712424634,56.8887845993042,55.54605748618377,21.65247295055909,25.276356877464305,19.406828566344878,20.064024614431396,0.5593757629394531,0.9911094366984896,801458000.0,57.30349578857422,56.86274452209473,56.8887845993042,56.77626558939616,55.475711568196616,17.93000030517578,0.8230573687166315
2025-01-02,CVX,137.687875199049,140.13916200108878,137.687875199049,138.8520050048828,7170300.0,42.249362135075536,-3.0628905299983273,-2.8189314888331287,-0.24395904116519862,153.03125391667578,141.33733596801758,129.6434180193594,37.21719835828536,23.6401927238502,31.469637396154447,-32.46615751308007,-1.3249969482421875,-0.9452313359400222,790426400.0,136.77929077148437,136.0495819091797,141.33733596801758,145.20574442545572,144.24463551839193,17.93000030517578,1.3848326978723884
2025-01-02,GS,564.751650751671,569.6259982783124,555.4221424455219,560.5206909179688,2219000.0,48.86608942538019,-0.9955049178647641,0.4830626900961388,-1.478567607960903,592.009947011513,565.7879272460938,539.5659074806746,23.580232282339328,20.05590514073666,25.011618354025593,-28.625172796903335,0.28271484375,0.05046334875959957,50369600.0,561.24208984375,555.9154174804687,565.7879272460938,571.0263366699219,547.7406407674154,17.93000030517578,1.4373961519762726
2025-01-02,HD,380.0506434285736,380.5740172903005,374.4777691968061,376.4936828613281,2415700.0,35.166909028075914,-6.375570199012884,-4.180303950333229,-2.195266248679655,424.4348578674638,393.70999908447266,362.9851403014815,30.713774155323033,13.869191064535356,29.95903392251002,-77.85061280979292,-19.39361572265625,-4.898771895947062,1335020100.0,378.93218383789065,379.4313232421875,393.70999908447266,397.9991017659505,394.2960484822591,17.93000030517578,1.231855112092318
2025-01-02,HON,208.40767701539684,209.25206908259426,206.18656941139525,206.98507690429688,2216960.0,46.98766387933569,0.563128296693435,1.3054547224046198,-0.7423264257111848,214.486477008307,209.61046829223633,204.73445957616568,22.568819391229095,21.970993982131358,19.73753056029889,-93.02879998487022,-6.9845428466796875,-3.264268476435339,678557414.0,209.14743041992188,209.02994842529296,209.61046829223633,209.81682383219402,204.015771484375,17.93000030517578,1.3699817408837613
