step,portfolio_value,returns,cum_returns,drawdown
0,10005.188877560426,,,0.0
1,10002.732006988526,-0.00024555963929973057,-0.00024555963929973057,-0.00024555963929973057
2,10003.0569551178,3.248593774651809e-05,-0.00021308167878841822,-0.00021308167878841822
3,10006.242243899538,0.0003184315350828193,0.00010528200436832336,0.0
4,9959.054392794802,-0.004715841367272988,-0.0046110558561360815,-0.004715841367272988
5,9980.982923492435,0.00220186875507955,-0.002419340040874074,-0.0025243562759539317
6,10003.956068756106,0.0023016916710276725,-0.00012321694466788102,-0.00022847489474142613
7,10098.241458111574,0.009424810415745055,0.009300432174733642,0.0
8,10090.692345297244,-0.0007475670734992113,0.008545912404371192,-0.0007475670734992113
9,10101.252337240603,0.0010465081663380005,0.009601363937829177,0.0
10,10159.64098911133,0.005780337914682576,0.015437200980514154,0.0
11,10210.442169577029,0.005000292876504719,0.02051468438311499,0.0
12,10256.764843774417,0.004536794139573308,0.025144549422572826,0.0
13,10194.114034677126,-0.006108242711181822,0.018882717700654528,-0.006108242711181822
14,10121.226284780885,-0.007149983769879409,0.011597722805684274,-0.013214552644813748
15,10130.916833999636,0.0009574481338612273,0.01256627515760278,-0.012269756759722084
16,10100.808432675174,-0.002971932532642718,0.009556996503005122,-0.015205224403083029
17,10166.405700180056,0.0064942591419396845,0.01611332125685383,-0.00880971192872837
18,10138.201549356081,-0.0027742499813355748,0.013294368894322117,-0.011559521566910202
19,10119.958200036623,-0.001799466032574304,0.011470980096498051,-0.013338186633071958
20,10105.365513583376,-0.0014419710205121339,0.01001246825510993,-0.01476092437499299
21,10207.260399981691,0.01008324600048871,0.020196672436086915,-0.004826516406172043
22,10198.54476477051,-0.0008538662549646414,0.019325560924066565,-0.0056762614616484575
23,10118.437335266115,-0.00785479020311941,0.011318972494331003,-0.013486465821848648
24,9957.815036779788,-0.015874219819151825,-0.004734927182322712,-0.029146598517960975
25,9940.02834383545,-0.0017862043910878977,-0.006512674025686116,-0.030880741126790734
26,9855.51394978943,-0.00850242988476324,-0.014959730356183587,-0.03912060967533393
27,9885.803045043947,0.0030733146347141638,-0.011932391679704502,-0.03616752498285403
28,9986.97133140259,0.010233694308664276,-0.0018208098198615463,-0.026303958068765176
29,10040.438558044436,0.005353697819650893,0.0035231399342268155,-0.02109108369207524
30,9950.754583810427,-0.008932276584886156,-0.005440606310999074,-0.029834968883948876
31,9759.388462673953,-0.01923131753724694,-0.02456729382068401,-0.04849252066087473
32,9492.365025173953,-0.027360673111974765,-0.05125578923718521,-0.07452640576667169
33,9496.467564236453,0.00043219356310264523,-0.05084574809626263,-0.07412642203642261
34,9427.344517361453,-0.007278816718683467,-0.05775446793362904,-0.08086568611509126
35,9514.459751736453,0.009240697018610966,-0.04904746245466385,-0.07237224440107193
36,9454.489048611453,-0.006303111757244517,-0.05504142257464739,-0.07821918581373388
37,9667.855259548953,0.022567714642266923,-0.03371586705054952,-0.05741669943646188
38,9495.204868923953,-0.01785818943187767,-0.05097195214177852,-0.07424953057325001
39,9115.815220486453,-0.03995592024340333,-0.08889124113075442,-0.11123874249495835
40,9138.224400173953,0.0024582748931920584,-0.0866514853438588,-0.10905392300959194
41,8868.674595486453,-0.029496956179186018,-0.1135924864569956,-0.13533412040059578
42,8791.975376736453,-0.00864832934439097,-0.12125843056745822,-0.14281203570022893
43,8416.690220486453,-0.04268496443279446,-0.15876748320430423,-0.17940107346858414
44,8229.517857205203,-0.022238238354747475,-0.17747501242457098,-0.19764974799043966
45,8398.697056423953,0.02055760764534087,-0.1605658664515064,-0.1811553463154868
46,8262.344029080203,-0.016235021507229774,-0.17419409766356897,-0.19444930687913498
47,8552.726353298953,0.03514527151093172,-0.14517092501062512,-0.1661380090535829
48,8513.272251736453,-0.004613043833359809,-0.14911428900358148,-0.16998465096879145
49,8460.877720486453,-0.006154452682905043,-0.15435102485046892,-0.1750929411604889
50,8711.172642361453,0.029582618983956754,-0.1293345134244468,-0.15069002994166314
51,8716.855259548953,0.0006523366509654238,-0.12876654641682295,-0.15013599392016375
52,8706.754673611453,-0.001158741958739662,-0.12977608117534745,-0.15112076700323096
53,8938.743931423953,0.026644744972040613,-0.10658918678969476,-0.12850259632797068
54,8983.564243923953,0.005014162263048627,-0.10210948000469611,-0.12413276693413355
